,Time Control,Time Control Name,Time Control Mapped,Rating Difference,Opening ECO,Oppening Name,Opening Name Mapped,White's Number of Mistakes,Black's Number of Mistakes,Winner
6,15 + 0,Rapid,2,-558,C50,Italian Game,4,2,4,White
26,3 + 0,Blitz,1,-16,C50,Italian Game,4,4,8,White
28,10 + 15,Rapid,2,112,D00,Queen Pawn Game,3,2,1,Black
36,60 + 10,Classic,3,19,C42,Petroff Defense,2,0,4,White
37,5 + 5,Blitz,1,42,D00,Queen Pawn Game,3,4,6,White
43,3 + 2,Blitz,1,10,C50,Italian Game,4,11,9,Black
44,10 + 15,Rapid,2,0,C50,Italian Game,4,2,3,Black
45,30 + 25,Classic,3,192,C50,Italian Game,4,2,1,Black
49,30 + 25,Classic,3,-82,C50,Italian Game,4,1,0,Black
60,60 + 0,Classic,3,19,D00,Queen Pawn Game,3,2,1,Black
62,15 + 0,Rapid,2,71,D00,Queen Pawn Game,3,1,4,White
130,60 + 10,Classic,3,23,C50,Italian Game,4,0,1,White
133,15 + 0,Rapid,2,6,B20,Sicilian Defense,1,4,3,Black
139,15 + 0,Rapid,2,120,B20,Sicilian Defense,1,2,5,White
146,10 + 0,Rapid,2,-160,D00,Queen Pawn Game,3,3,2,Black
154,5 + 5,Blitz,1,-169,D00,Queen Pawn Game,3,4,4,White
163,15 + 0,Rapid,2,40,D00,Queen Pawn Game,3,3,0,Black
165,15 + 0,Rapid,2,-306,D00,Queen Pawn Game,3,3,1,Black
181,60 + 0,Classic,3,-1029,B20,Sicilian Defense,1,2,0,Black
191,5 + 0,Blitz,1,-87,C42,Petroff Defense,2,7,6,Draw
208,3 + 2,Blitz,1,-33,D00,Queen Pawn Game,3,2,4,White
225,5 + 0,Blitz,1,-12,D00,Queen Pawn Game,3,2,5,White
228,3 + 2,Blitz,1,130,C42,Petroff Defense,2,5,6,White
229,10 + 15,Rapid,2,1,C50,Italian Game,4,2,6,White
237,10 + 15,Rapid,2,-190,C50,Italian Game,4,3,1,Black
241,30 + 25,Classic,3,-115,C50,Italian Game,4,1,0,Black
266,10 + 15,Rapid,2,158,D00,Queen Pawn Game,3,2,0,Black
287,10 + 15,Rapid,2,-34,D00,Queen Pawn Game,3,3,2,Black
301,15 + 0,Rapid,2,-276,D00,Queen Pawn Game,3,6,5,White
302,10 + 0,Rapid,2,104,D00,Queen Pawn Game,3,1,2,White
304,10 + 0,Rapid,2,-19,C50,Italian Game,4,0,4,White
321,15 + 0,Rapid,2,-165,D00,Queen Pawn Game,3,3,3,White
323,10 + 0,Rapid,2,32,C42,Petroff Defense,2,0,2,White
328,10 + 0,Rapid,2,-12,D00,Queen Pawn Game,3,3,4,Black
333,10 + 15,Rapid,2,-193,D00,Queen Pawn Game,3,1,4,White
334,3 + 0,Blitz,1,-58,C50,Italian Game,4,4,2,Black
340,15 + 0,Rapid,2,-177,D00,Queen Pawn Game,3,1,3,White
348,3 + 2,Blitz,1,-48,B20,Sicilian Defense,1,6,6,White
363,10 + 0,Rapid,2,-147,D00,Queen Pawn Game,3,3,0,Black
365,10 + 15,Rapid,2,51,B20,Sicilian Defense,1,2,1,Black
378,60 + 0,Classic,3,162,B20,Sicilian Defense,1,1,1,White
380,5 + 5,Blitz,1,-25,C50,Italian Game,4,15,11,White
402,60 + 10,Classic,3,59,C42,Petroff Defense,2,1,2,White
417,15 + 0,Rapid,2,-211,C50,Italian Game,4,4,2,Black
439,30 + 0,Classic,3,-277,B20,Sicilian Defense,1,2,1,Black
441,3 + 2,Blitz,1,35,D00,Queen Pawn Game,3,8,6,Black
448,10 + 0,Rapid,2,76,B20,Sicilian Defense,1,2,3,Black
450,3 + 0,Blitz,1,6,C42,Petroff Defense,2,10,10,White
453,10 + 0,Rapid,2,-74,C50,Italian Game,4,0,3,White
465,3 + 2,Blitz,1,46,C42,Petroff Defense,2,6,6,White
488,5 + 5,Blitz,1,39,B20,Sicilian Defense,1,6,6,White
492,10 + 15,Rapid,2,118,B20,Sicilian Defense,1,4,6,White
516,10 + 15,Rapid,2,-155,B20,Sicilian Defense,1,3,3,White
520,3 + 0,Blitz,1,-17,B20,Sicilian Defense,1,9,9,White
560,10 + 15,Rapid,2,47,C42,Petroff Defense,2,2,1,Black
562,30 + 0,Classic,3,-22,C42,Petroff Defense,2,2,0,Black
570,3 + 2,Blitz,1,-20,B20,Sicilian Defense,1,5,7,Draw
581,3 + 0,Blitz,1,83,C50,Italian Game,4,2,7,White
607,10 + 0,Rapid,2,109,C42,Petroff Defense,2,4,3,Black
614,30 + 0,Classic,3,144,C50,Italian Game,4,2,3,White
617,3 + 2,Blitz,1,25,C42,Petroff Defense,2,6,5,White
620,60 + 0,Classic,3,-79,D00,Queen Pawn Game,3,2,3,Black
627,10 + 15,Rapid,2,11,B20,Sicilian Defense,1,4,2,Draw
649,3 + 0,Blitz,1,-7,B20,Sicilian Defense,1,4,5,White
653,15 + 0,Rapid,2,-74,B20,Sicilian Defense,1,5,6,White
655,15 + 0,Rapid,2,50,D00,Queen Pawn Game,3,4,6,White
686,3 + 2,Blitz,1,-15,B20,Sicilian Defense,1,5,4,Black
687,15 + 0,Rapid,2,-21,B20,Sicilian Defense,1,5,5,White
689,10 + 15,Rapid,2,5,C42,Petroff Defense,2,1,0,Black
691,15 + 0,Rapid,2,-15,C50,Italian Game,4,3,3,Black
704,60 + 10,Classic,3,-586,B20,Sicilian Defense,1,1,0,Black
708,10 + 0,Rapid,2,-42,B20,Sicilian Defense,1,6,3,Black
