,Unnamed: 0,Game ID,Time Control,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders,Winner
0,0,J7Xvjkte,10 + 0,1441,1559,C20,4,32,2,2,0,87,2,4,1,White
1,1,SSzpi7W1,10 + 15,1258,1567,C46,6,43,0,0,1,6,0,0,0,Black
2,2,NHpcYm3r,60 + 10,1697,1712,C68,7,11,1,0,0,42,1,0,2,White
3,3,Nrzmgzmn,10 + 0,1978,1868,D31,5,21,3,0,0,53,6,0,1,White
4,4,xMuFsnC6,10 + 0,2073,1816,A01,2,35,3,2,0,50,6,3,0,White
5,5,gcdFqoqK,60 + 0,1944,2052,C44,9,79,3,0,2,62,3,1,1,Black
6,6,eZ6Kt1Zm,15 + 0,1500,2058,C50,6,50,4,1,1,91,5,1,3,White
7,7,goJh6Ftp,30 + 0,1880,1919,D80,7,9,0,0,0,49,3,1,0,White
8,8,mhAd7u5k,3 + 2,2209,2185,B06,7,93,4,3,4,71,4,4,2,Black
9,9,iOL4E4gz,10 + 15,2296,2323,D32,6,65,2,4,2,32,4,0,1,White
10,10,SsaU8AX3,3 + 2,2320,2305,C00,3,65,3,2,2,105,2,0,5,White
11,11,ZWIVRGiN,30 + 0,1751,2303,A46,3,61,5,0,1,36,4,0,1,Black
12,12,nZmqVwZX,5 + 5,2301,1949,D40,9,34,4,2,3,44,5,5,3,White
13,13,o7JC8edy,10 + 0,2299,1914,D32,6,44,3,0,2,89,2,1,3,White
14,14,sZ2CkFPn,10 + 15,2089,2304,C02,9,55,6,0,4,59,3,0,4,Draw
15,15,9Jhq5bqU,3 + 2,2297,2041,A53,6,90,7,1,4,109,7,3,3,White
16,16,oI8cnVMo,15 + 0,1630,1551,C10,6,31,0,1,0,141,2,0,2,White
17,17,uqIOFuMg,5 + 0,1208,1560,A41,2,66,7,3,1,78,6,1,4,White
18,18,kfwOG81F,10 + 0,1808,2175,B22,8,65,0,0,1,12,0,0,0,Black
19,19,FLYuGOKd,15 + 0,2171,1668,B18,11,39,2,0,2,81,2,2,3,White
20,20,BJisK5oE,15 + 0,1085,2171,B40,4,72,5,1,1,18,2,0,0,Black
21,21,tb4y2PYU,5 + 0,1688,1718,B01,6,93,1,4,4,119,4,5,4,White
22,22,6YGRS7r6,10 + 15,1651,1675,C23,3,73,6,2,1,112,2,2,1,White
23,23,uSEXs5ef,30 + 0,1625,1619,B01,6,18,0,0,0,141,1,0,1,White
24,24,e3LHotif,5 + 5,1464,1545,A02,1,111,3,6,8,111,7,5,6,Draw
25,25,1K52fvjM,3 + 0,1535,1585,B12,7,127,5,4,10,127,2,6,9,Draw
26,26,JALt4jRq,3 + 0,1883,1899,C50,6,84,6,1,3,118,1,5,3,White
27,27,IafP4GEu,10 + 0,1921,1901,B01,4,69,5,4,1,41,5,0,3,Black
28,28,aXki7Czn,10 + 15,1595,1483,D00,3,42,7,0,2,11,4,0,1,Black
29,29,sgd6mpSF,3 + 2,1603,1727,A45,2,48,8,3,2,30,7,2,0,Black
30,30,ykAorlOS,60 + 0,1615,1965,D12,8,42,3,0,1,5,1,0,0,Black
31,31,emMhtQ4R,10 + 0,2033,1902,C07,7,41,3,1,0,12,0,0,0,Black
32,32,x9x6LyFi,15 + 0,1901,1572,A10,2,37,2,1,1,77,2,1,4,White
34,34,O7Moac8w,10 + 0,1830,1875,C02,9,42,2,1,1,7,0,0,0,Black
35,35,EHlwbfru,30 + 0,1472,1284,B40,4,31,3,0,0,30,2,0,0,Black
36,36,RRP5PLEt,10 + 0,1958,1977,A14,9,28,5,1,2,44,4,1,3,Black
37,37,eEX0G7qD,60 + 10,2005,1986,C42,4,19,3,0,0,40,3,1,3,White
38,38,WF8uGxcX,5 + 5,2038,1996,D00,4,74,2,1,3,107,4,2,4,White
